PaperID,PaperDiscipline,StudentLevel,StudentGender,SpeakerStatus,PaperType,CharacterTypes,CitationAuthority,CitationControversy,CitationHedged,CitationNeutral,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,ExpertVocabulary,InformationComparison,InformationQuantities,MethodsResultsDiscussion,PurposePlan,ReaderDirectedMetadiscourse,ReaderDirectedMetadiscourseFP,Reasoning
CEE.G3.01.1,Civil and Environmental Engineering,Third Year Graduate,M,NNS,ResearchPaper,0.056,0.084,0.070,0.014,0.112,0.815,0.239,0.000,6.169,1.068,3.288,1.265,0.436,1.785,0.000,1.630
CEE.G3.02.1,Civil and Environmental Engineering,Third Year Graduate,M,NNS,ResearchPaper,0.000,0.104,0.000,0.000,0.000,0.519,0.208,0.000,12.461,1.869,1.454,1.038,1.038,1.973,0.104,1.454
CEE.G3.03.1,Civil and Environmental Engineering,Third Year Graduate,F,NS,ResearchPaper,0.301,0.086,0.064,0.000,0.086,0.279,0.215,0.000,9.620,0.709,0.687,0.644,0.537,1.525,0.000,1.439
CEE.G3.04.1,Civil and Environmental Engineering,Third Year Graduate,M,NS,Report,0.739,0.102,0.204,0.000,0.229,0.509,0.535,0.000,5.655,0.560,1.172,0.127,0.255,1.885,0.025,1.401
CEE.G3.04.2,Civil and Environmental Engineering,Third Year Graduate,M,NS,Report,1.344,0.116,0.139,0.023,0.162,0.788,0.232,0.000,5.052,0.811,0.626,0.000,0.487,1.738,0.000,1.089
CEE.G3.04.3,Civil and Environmental Engineering,Third Year Graduate,M,NS,Essay,2.362,0.163,0.000,0.081,0.081,0.570,0.733,0.000,5.212,2.036,0.407,0.081,0.163,1.873,0.081,0.977
CLS.G0.01.1,Classical Studies,Final Year Undergraduate,F,NS,Report,4.137,0.036,0.072,0.000,0.288,0.576,0.683,0.036,1.942,1.007,0.612,0.000,1.475,2.122,0.036,1.583
CLS.G0.02.1,Classical Studies,Final Year Undergraduate,F,NS,Essay,1.422,0.158,0.000,0.000,0.237,0.474,0.632,0.000,5.450,0.474,0.553,0.000,0.474,1.896,0.000,2.212
CLS.G0.03.1,Classical Studies,Final Year Undergraduate,M,NS,Report,2.160,0.000,0.094,0.000,0.282,0.282,0.376,0.000,2.817,1.315,0.939,0.000,0.094,2.441,0.000,0.751
CLS.G0.04.1,Classical Studies,Final Year Undergraduate,F,NS,ResponsePaper,4.980,0.000,0.398,0.000,0.000,0.398,0.000,0.000,4.382,0.797,0.598,0.199,0.797,0.996,0.000,1.594
CLS.G0.04.2,Classical Studies,Final Year Undergraduate,F,NS,Essay,3.844,0.220,0.055,0.000,0.000,0.110,0.384,0.000,2.965,1.263,0.220,0.000,0.110,2.197,0.055,1.538
CLS.G0.05.1,Classical Studies,Final Year Undergraduate,F,NS,Report,2.749,0.079,0.236,0.079,0.196,0.314,0.628,0.000,2.710,0.275,0.982,0.000,0.314,1.218,0.000,1.060
CLS.G0.06.1,Classical Studies,Final Year Undergraduate,F,NS,Essay,1.954,0.056,0.056,0.000,0.447,0.670,1.117,0.056,4.523,1.340,0.335,0.112,0.223,1.731,0.223,1.396
CLS.G1.01.1,Classical Studies,First Year Graduate,M,NS,Essay,1.177,0.106,0.151,0.015,0.392,0.634,0.739,0.000,7.226,1.011,0.664,0.091,0.347,2.278,0.272,1.373
CLS.G1.02.1,Classical Studies,First Year Graduate,M,NS,Report,1.361,0.128,0.462,0.000,0.103,0.822,0.642,0.000,9.348,1.053,0.026,0.000,0.360,1.746,0.000,1.207
CLS.G1.03.1,Classical Studies,First Year Graduate,F,NS,Report,4.703,0.000,0.108,0.054,0.162,0.703,0.162,0.000,3.676,0.865,0.865,0.216,0.000,3.135,0.000,1.297
CLS.G1.04.1,Classical Studies,First Year Graduate,M,NS,Essay,3.401,0.120,0.160,0.040,0.120,0.640,0.640,0.000,5.242,0.640,0.920,0.080,0.440,2.161,0.080,1.761
CLS.G2.01.1,Classical Studies,Second Year Graduate,M,NS,Essay,1.081,0.061,0.213,0.015,0.107,0.670,0.472,0.030,7.066,1.370,0.777,0.000,0.198,2.634,0.046,1.370
CLS.G2.02.1,Classical Studies,Second Year Graduate,M,NS,Essay,1.568,0.149,0.100,0.000,0.498,0.746,0.647,0.000,4.056,0.746,0.473,0.050,0.149,1.717,0.124,1.269
CLS.G3.01.1,Classical Studies,Third Year Graduate,F,NS,Essay,0.987,0.092,0.230,0.000,0.000,0.551,0.207,0.000,6.129,0.712,0.390,0.023,0.482,2.043,0.046,1.492
ECO.G0.01.1,Economics,Final Year Undergraduate,M,NNS,Report,2.425,0.115,0.231,0.000,0.231,0.346,0.346,0.000,9.007,1.617,0.346,0.115,0.346,2.309,0.115,3.002
ECO.G0.02.1,Economics,Final Year Undergraduate,F,NS,Report,1.784,0.143,0.428,0.000,0.000,0.785,0.286,0.000,4.925,0.999,0.714,0.000,0.214,1.856,0.000,2.141
ECO.G0.02.2,Economics,Final Year Undergraduate,F,NS,Report,1.154,0.080,0.199,0.000,0.159,0.836,0.199,0.000,10.669,0.995,1.154,0.080,0.398,1.752,0.000,1.951
ECO.G0.03.1,Economics,Final Year Undergraduate,M,NS,Essay,1.328,0.089,0.133,0.000,0.133,0.996,0.686,0.022,5.446,1.041,0.686,0.044,0.421,2.413,0.044,2.125
ECO.G0.04.1,Economics,Final Year Undergraduate,M,NNS,Report,1.240,0.089,0.177,0.000,0.089,1.063,0.443,0.000,2.923,0.709,0.886,0.177,0.354,2.569,0.000,1.949
ECO.G0.04.2,Economics,Final Year Undergraduate,M,NNS,Critique,2.734,0.000,0.083,0.000,0.083,0.497,0.746,0.000,4.557,0.829,0.497,0.000,0.331,1.491,0.166,1.160
ECO.G0.06.1,Economics,Final Year Undergraduate,F,NS,ResearchPaper,3.620,0.206,0.056,0.019,0.056,0.807,0.657,0.000,7.316,2.495,1.219,0.638,0.450,2.157,0.000,2.626
ECO.G0.07.1,Economics,Final Year Undergraduate,F,NS,Report,2.435,0.000,0.000,0.000,0.092,0.505,0.184,0.000,5.282,1.148,0.873,0.138,0.230,1.194,0.000,1.011
ECO.G0.08.1,Economics,Final Year Undergraduate,M,NS,ResearchPaper,1.125,0.211,0.445,0.023,0.117,0.844,0.422,0.000,6.284,1.172,0.868,0.164,0.445,2.016,0.141,1.407
ECO.G1.01.1,Economics,First Year Graduate,M,NS,ResearchPaper,2.305,0.100,0.050,0.000,0.050,1.219,0.902,0.017,5.428,1.470,1.603,0.067,0.568,1.787,0.150,2.355
ECO.G1.02.1,Economics,First Year Graduate,F,NS,ResearchPaper,0.425,0.121,0.000,0.000,0.061,0.729,0.121,0.061,9.593,1.275,1.761,0.911,0.061,1.700,0.061,2.307
ECO.G1.02.2,Economics,First Year Graduate,F,NS,Report,0.173,0.000,0.000,0.000,0.000,0.000,0.173,0.000,4.325,1.211,0.692,0.000,0.519,2.076,0.000,1.903
ECO.G1.03.1,Economics,First Year Graduate,F,NNS,ResearchPaper,2.836,0.124,0.035,0.000,0.035,1.241,0.372,0.000,8.632,2.216,0.975,0.691,0.549,2.074,0.142,2.783
ECO.G2.01.1,Economics,Second Year Graduate,F,NNS,ResearchPaper,0.512,0.171,0.213,0.000,0.213,1.067,0.512,0.000,7.125,1.109,0.640,0.469,0.256,1.451,0.000,2.090
ECO.G2.02.1,Economics,Second Year Graduate,M,NS,Report,1.723,0.108,0.054,0.000,0.000,1.292,0.215,0.000,5.116,1.616,0.700,0.108,0.431,1.562,0.054,1.023
ECO.G2.03.1,Economics,Second Year Graduate,M,NS,Report,1.086,0.116,0.139,0.000,0.092,0.416,0.231,0.023,6.699,1.386,1.063,0.439,0.439,1.525,0.185,1.917
ECO.G2.04.1,Economics,Second Year Graduate,M,NNS,ResearchPaper,0.661,0.280,0.000,0.040,0.120,0.781,0.300,0.000,7.749,2.423,1.121,0.681,1.021,1.862,0.120,2.082
ECO.G2.05.1,Economics,Second Year Graduate,F,NS,ResearchPaper,3.756,0.302,0.050,0.034,0.067,1.308,0.453,0.084,6.539,2.113,1.291,0.503,0.469,2.062,0.101,2.113
ECO.G2.06.1,Economics,Second Year Graduate,M,NNS,Proposal,2.912,0.112,0.000,0.056,0.056,0.672,0.784,0.000,5.263,0.952,0.896,0.000,0.672,1.736,0.168,1.456
ECO.G2.07.1,Economics,Second Year Graduate,F,NS,Proposal,0.723,0.120,0.000,0.000,0.000,1.687,0.602,0.120,5.181,1.446,0.482,0.000,0.723,2.169,0.120,2.530
ECO.G2.07.2,Economics,Second Year Graduate,F,NS,ResponsePaper,1.906,0.000,0.000,0.000,0.127,2.668,0.254,0.000,3.812,1.271,0.000,0.762,1.017,1.398,0.000,3.050
ECO.G2.07.3,Economics,Second Year Graduate,F,NS,Critique,0.182,0.182,0.000,0.000,0.364,1.729,0.546,0.000,8.007,1.638,0.364,0.546,0.910,1.001,0.182,2.821
